,N_People
2583,5
2584,5
2585,8
2586,5
2587,7
2588,5
2589,5
2590,7
2591,11
2592,0
2593,6
2594,8
2595,10
2596,2
2597,8
2598,7
2599,6
2600,0
2601,7
2602,8
2603,6
2604,0
2605,2
2606,0
2607,11
2608,11
2609,5
2610,7
2611,7
2612,9
2613,7
2614,9
2615,5
2616,8
2617,5
2618,2
2619,0
2620,8
2621,8
2622,9
2623,10
2624,5
2625,9
2626,7
2627,6
2628,6
2629,0
2630,7
2631,8
2632,11
2633,7
2634,8
2635,11
2636,11
2637,7
2638,0
2639,9
2640,8
2641,6
2642,7
2643,7
2644,2
2645,3
2646,9
2647,6
2648,11
2649,11
2650,7
2651,7
2652,9
2653,5
2654,8
2655,11
2656,0
2657,0
2658,8
2659,0
2660,7
2661,3
2662,0
2663,8
2664,0
2665,11
2666,7
2667,3
2668,9
2669,8
2670,8
2671,11
2672,11
2673,3
2674,7
2675,0
2676,10
2677,0
2678,0
2679,9
2680,11
2681,7
2682,2
2683,8
2684,6
2685,11
2686,6
2687,1
2688,8
2689,0
2690,6
2691,8
2692,8
2693,7
2694,0
2695,11
2696,10
2697,11
2698,11
2699,2
2700,4
2701,11
2702,11
2703,7
2704,8
2705,11
2706,11
2707,8
2708,4
2709,8
2710,1
2711,11
2712,2
2713,7
2714,5
2715,6
2716,0
2717,7
2718,1
2719,7
2720,7
2721,8
2722,8
2723,6
2724,11
2725,9
2726,8
2727,6
2728,9
2729,7
2730,8
2731,2
2732,2
2733,0
2734,0
2735,8
2736,4
2737,5
2738,11
2739,6
2740,0
2741,8
2742,0
2743,3
2744,2
2745,8
2746,0
2747,7
2748,3
2749,2
2750,8
2751,11
2752,2
2753,11
2754,4
2755,7
2756,8
2757,8
2758,5
2759,3
2760,8
2761,11
2762,6
2763,5
2764,2
2765,1
2766,8
2767,0
2768,2
2769,0
2770,9
2771,9
2772,7
2773,2
2774,9
2775,7
2776,8
2777,5
2778,11
2779,0
2780,0
2781,0
2782,8
2783,2
2784,11
2785,7
2786,11
2787,8
2788,11
2789,3
2790,0
2791,6
2792,11
2793,6
2794,9
2795,1
2796,0
2797,5
2798,3
2799,8
2800,11
2801,11
2802,2
2803,7
2804,7
2805,0
2806,9
2807,5
2808,6
2809,6
2810,8
2811,2
2812,1
2813,7
2814,10
2815,11
2816,4
2817,5
2818,0
2819,9
2820,7
2821,8
2822,11
2823,3
2824,9
2825,7
2826,7
2827,1
2828,7
2829,1
2830,10
2831,0
2832,8
2833,0
2834,8
2835,3
2836,6
2837,5
2838,1
2839,7
2840,5
2841,7
2842,7
2843,7
2844,0
2845,8
2846,10
2847,11
2848,6
2849,8
2850,8
2851,8
2852,8
2853,1
2854,6
2855,3
2856,5
2857,0
2858,8
2859,6
2860,0
2861,6
2862,8
2863,2
2864,2
2865,8
2866,1
2867,1
2868,7
2869,9
2870,7
2871,0
2872,0
2873,6
2874,1
2875,2
2876,0
2877,7
2878,4
2879,4
2880,1
2881,7
2882,0
2883,0
2884,6
2885,8
2886,11
2887,0
2888,7
2889,7
2890,0
2891,11
2892,7
2893,7
2894,8
2895,11
2896,8
2897,6
2898,11
2899,8
2900,11
2901,8
2902,2
2903,7
2904,8
2905,6
2906,11
2907,2
